"","pptnum","Title","Artist","memoryage","type","vivid","memvalence","memenergy","unique","important","social","emo","emoextra","corresponding","specific","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","key_name","mode_name","key_mode","Age"
"1240",198,"Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis�featuring�Wanz",17,2,7,5,5,3,4,5,"24,4,26,19","",1,1,0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,"4YMqbFcDIFiCBd02PzUBcM","F#","minor","F# minor",22
"1241",198,"Call Me Maybe","Carly Rae Jepsen",21,2,7,4,3,2,3,4,"1,4,23","",1,1,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,"20I6sIOMTCkB6w7ryavxtO","G","major","G major",22
"1242",198,"Party Rock Anthem","LMFAO�featuring�Lauren Bennett�and�GoonRock",17,3,5,5,5,3,4,5,"24,4,19,17,25","",1,0,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,"0IkKz2J93C94Ei4BvDop7P","F","minor","F minor",22
"1243",198,"California Gurls","Katy Perry�featuring�Snoop Dogg",10,3,5,5,5,2,2,2,"25","",1,0,0.791,0.754,0,-3.729,1,0.0569,0.00446,0,0.163,0.425,125.014,"6tS3XVuOyu10897O3ae7bi","C","major","C major",22
"1244",199,"Blinding Lights","The Weeknd",18,3,4,3,4,3,2,4,"3,24,4,19,12","",0,0,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,"0sf12qNH5qcw8qpgymFOqD","C#","major","C# major",22
"1245",199,"bad guy","Billie Eilish",18,3,5,4,4,3,4,2,"24,4,12","",0,0,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,"2Fxmhks0bxGSBdJ92vM42m","G","major","G major",22
"1246",199,"rockstar (feat. 21 Savage)","Post Malone�featuring�21 Savage",18,3,4,4,4,3,3,3,"24,4,34,12","",0,0,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,"0e7ipj03S05BNilyu5bRzt","F","minor","F minor",22
"1247",199,"Sorry","Justin Bieber",15,4,3,4,3,2,2,2,"24,34,23,17","",0,0,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,"09CtPGIpYB4BrO8qb1RGsF","C","minor","C minor",22
"1248",199,"Uptown Funk (feat. Bruno Mars)","Mark Ronson�featuring�Bruno Mars",10,4,4,3,3,3,2,2,"24,4,34,10","",0,0,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,"32OlwWuMpZ6b0aN2RZOeMS","C","major","C major",22
"1249",199,"Fancy","Iggy Azalea�featuring�Charli XCX",14,3,5,4,5,4,4,3,"24,4","",0,0,0.912,0.716,10,-4.141,0,0.0697,0.0904,0,0.0491,0.377,94.981,"3W3KtDwAIg3mAruSpnfG3Q","A#","minor","A# minor",22
